VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_N2]"  ,   "rms[Rho_N]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
        273,           0,           0,               -32,               -32,       4.005716506,       4.005716506,               -32,               -32
        274,           0,           0,               -32,               -32,       4.005716505,       4.005716505,               -32,               -32
        275,           0,           0,               -32,               -32,       4.005716504,       4.005716504,               -32,               -32
        276,           0,           0,               -32,               -32,       4.005716503,       4.005716503,               -32,               -32
        277,           0,           0,               -32,               -32,       4.005716503,       4.005716503,               -32,               -32
        278,           0,           0,               -32,               -32,       4.005716502,       4.005716502,               -32,               -32
        279,           0,           0,               -32,               -32,       4.005716501,       4.005716501,               -32,               -32
        280,           0,           0,               -32,               -32,         4.0057165,         4.0057165,               -32,               -32
        281,           0,           0,               -32,               -32,       4.005716499,       4.005716499,               -32,               -32
        282,           0,           0,               -32,               -32,       4.005716499,       4.005716499,               -32,               -32
        283,           0,           0,               -32,               -32,       4.005716498,       4.005716498,               -32,               -32
        284,           0,           0,               -32,               -32,       4.005716497,       4.005716497,               -32,               -32
        285,           0,           0,               -32,               -32,       4.005716496,       4.005716496,               -32,               -32
        286,           0,           0,               -32,               -32,       4.005716495,       4.005716495,               -32,               -32
        287,           0,           0,               -32,               -32,       4.005716494,       4.005716494,               -32,               -32
        288,           0,           0,               -32,               -32,       4.005716494,       4.005716494,               -32,               -32
        289,           0,           0,               -32,               -32,       4.005716493,       4.005716493,               -32,               -32
        290,           0,           0,               -32,               -32,       4.005716492,       4.005716492,               -32,               -32
        291,           0,           0,               -32,               -32,       4.005716491,       4.005716491,               -32,               -32
        292,           0,           0,               -32,               -32,        4.00571649,        4.00571649,               -32,               -32
        293,           0,           0,               -32,               -32,       4.005716489,       4.005716489,               -32,               -32
        294,           0,           0,               -32,               -32,       4.005716489,       4.005716489,               -32,               -32
        295,           0,           0,               -32,               -32,       4.005716488,       4.005716488,               -32,               -32
